maternal age;v_pop_distr
15;0.000056
16;0.000182816
17;0.000595626
18;0.001371119
19;0.003314275
20;0.005080513
21;0.007908262
22;0.011408302
23;0.016866241
24;0.023539021
25;0.03243213
26;0.042327777
27;0.054025046
28;0.066191149
29;0.074836571
30;0.082429328
31;0.08688178
32;0.086392305
33;0.080300408
34;0.069844518
35;0.060936666
36;0.050861151
37;0.040523207
38;0.03201932
39;0.024007855
40;0.017435329
41;0.011676628
42;0.007247766
43;0.004290276
44;0.002202637
45;0.001214841
46;0.000704726
47;0.000362683
48;0.000176919
49;0.000356786
