maternal age;v_p_t21;v_p_t18;v_p_t13
15;0.000368;0.00012;0
16;0.000368;0.00012;0
17;0.000368;0.00012;0
18;0.000368;0.00012;0
19;0.000368;0.00012;0
20;0.000368;0.00012;0
21;0.00084;0.00028;0
22;0.000575;0.00014;0.00014
23;0.000983;0.00011;0.00011
24;0.000801;0.00034;0.00008
25;0.000903;0.0002;0.0001
26;0.000881;0.00017;0.00017
27;0.001169;0.00022;0.0001
28;0.000942;0.00026;0.00021
29;0.001067;0.00026;0.00024
30;0.00124;0.0004;0.0006
31;0.001511;0.00031;0.00019
32;0.001568;0.00061;0.00029
33;0.002348;0.00043;0.00008
34;0.002839;0.00055;0.00026
35;0.003452;0.00083;0.00031
36;0.004295;0.00086;0.00052
37;0.006853;0.00099;0.00077
38;0.008464;0.00211;0.00099
39;0.011469;0.00308;0.00097
40;0.013544;0.00423;0.00127
41;0.023503;0.00667;0.00092
42;0.026421;0.01138;0
43;0.032799;0.01246;0
44;0.023774;0.01351;0.00152
45;0.03252;0.01381;0.00279
46;0.03252;0.01381;0.00279
47;0.03252;0.01381;0.00279
48;0.03252;0.01381;0.00279
49;0.03252;0.01381;0.00279
